,candidato,municipio,local,zona,secao,turno,votos_recebidos,ds_grau_escolaridade_ensino_fundamental_completo,ds_grau_escolaridade_ensino_médio_incompleto,ds_grau_escolaridade_analfabeto,ds_grau_escolaridade_ensino_médio_completo,ds_grau_escolaridade_superior_completo,ds_grau_escolaridade_lê_e_escreve,ds_grau_escolaridade_ensino_fundamental_incompleto,ds_grau_escolaridade_superior_incompleto,ds_raca_cor_não_informado,ds_raca_cor_preta,ds_raca_cor_parda,ds_raca_cor_branca,ds_raca_cor_amarela,ds_raca_cor_indígena,ds_faixa_etaria_45_a_49_anos,ds_faixa_etaria_50_a_54_anos,ds_faixa_etaria_40_a_44_anos,ds_faixa_etaria_21_a_24_anos,ds_faixa_etaria_25_a_29_anos,ds_faixa_etaria_19_anos,ds_faixa_etaria_20_anos,ds_faixa_etaria_18_anos,ds_faixa_etaria_17_anos,ds_faixa_etaria_16_anos,ds_faixa_etaria_55_a_59_anos,ds_faixa_etaria_85_a_89_anos,ds_faixa_etaria_90_a_94_anos,ds_faixa_etaria_80_a_84_anos,ds_faixa_etaria_75_a_79_anos,ds_faixa_etaria_70_a_74_anos,ds_faixa_etaria_65_a_69_anos,ds_faixa_etaria_35_a_39_anos,ds_faixa_etaria_95_a_99_anos,ds_faixa_etaria_100_anos_ou_mais,ds_faixa_etaria_60_a_64_anos,ds_faixa_etaria_30_a_34_anos,ds_faixa_etaria_inválida,ds_genero_feminino,ds_genero_masculino,eleitores_totais,percentual_votos
528,SEBASTIAO BOCALOM RODRIGUES,1392,3646,1,750,1,108,18,56,3,94,93,9,26,27,297,3,19,7,0,0,14,51,14,26,33,6,4,8,2,3,37,3,3,7,7,20,19,15,2,0,32,20,0,165,161,326,0.3312883435582822
529,SEBASTIAO BOCALOM RODRIGUES,1392,1139,1,37,1,136,20,57,11,102,54,17,32,38,289,4,27,9,1,1,20,16,38,25,18,11,19,9,1,4,33,2,0,6,10,15,19,38,0,0,27,20,0,150,181,331,0.4108761329305136
530,SEBASTIAO BOCALOM RODRIGUES,1392,2810,1,553,1,122,16,67,6,100,17,6,44,29,257,3,22,3,0,0,17,14,21,73,74,4,6,3,1,1,10,0,0,0,4,3,1,25,0,0,5,23,0,148,137,285,0.4280701754385965
531,SEBASTIAO BOCALOM RODRIGUES,1392,3778,1,814,1,99,12,115,23,70,6,16,73,7,300,1,15,6,0,0,10,10,21,127,39,15,12,3,1,1,18,0,0,0,0,5,6,26,0,0,6,22,0,168,154,322,0.30745341614906835
532,SEBASTIAO BOCALOM RODRIGUES,1392,1740,9,269,1,135,30,73,16,70,10,27,102,13,306,4,28,2,1,0,36,34,41,21,48,4,5,1,2,3,30,1,0,3,4,6,10,40,0,0,15,37,0,197,144,341,0.39589442815249265
533,SEBASTIAO BOCALOM RODRIGUES,1392,2690,1,476,1,150,16,53,6,95,40,13,55,34,293,2,12,5,0,0,42,19,37,1,28,1,0,2,1,2,22,0,0,1,7,3,10,41,0,0,8,87,0,154,158,312,0.4807692307692308
534,SEBASTIAO BOCALOM RODRIGUES,1392,1643,1,811,1,127,6,155,3,115,12,4,31,10,309,4,17,5,0,1,7,7,8,178,28,15,34,10,3,2,5,0,0,0,1,2,0,16,0,0,1,19,0,173,163,336,0.37797619047619047
535,SEBASTIAO BOCALOM RODRIGUES,1392,1708,9,218,1,139,14,55,9,100,40,14,38,66,330,1,2,2,0,1,43,26,36,0,38,0,0,0,0,0,26,2,0,3,4,7,9,22,0,0,18,102,0,207,129,336,0.41369047619047616
536,SEBASTIAO BOCALOM RODRIGUES,1392,1589,1,100,1,86,16,22,7,56,23,19,45,14,199,0,2,1,0,0,13,11,35,2,16,0,0,0,0,0,21,2,0,7,9,15,19,13,0,0,29,10,0,96,106,202,0.42574257425742573
537,SEBASTIAO BOCALOM RODRIGUES,1392,3735,1,775,1,116,10,30,1,79,132,7,21,59,313,2,15,9,0,0,23,28,67,15,13,6,4,1,3,0,18,0,0,1,4,9,7,89,0,0,18,32,1,184,155,339,0.3421828908554572
538,SEBASTIAO BOCALOM RODRIGUES,1392,3581,1,835,1,104,8,111,1,100,35,1,20,27,156,16,89,40,2,0,16,12,11,58,12,41,36,34,17,12,8,0,0,1,0,0,6,16,0,0,5,18,0,183,120,303,0.3432343234323432
539,SEBASTIAO BOCALOM RODRIGUES,1392,2305,9,387,1,151,12,42,4,112,78,7,42,37,312,1,15,6,0,0,44,32,108,29,30,5,2,3,1,2,15,1,1,1,1,9,6,17,0,0,5,22,0,172,162,334,0.45209580838323354
540,SEBASTIAO BOCALOM RODRIGUES,1392,2488,1,477,1,111,8,25,9,84,50,7,27,34,244,0,0,0,0,0,28,28,30,0,19,0,0,0,0,0,19,1,1,1,6,14,13,29,2,0,24,29,0,133,111,244,0.45491803278688525
541,SEBASTIAO BOCALOM RODRIGUES,1392,2461,1,7,1,132,26,24,15,102,75,27,43,31,332,1,7,3,0,0,22,18,30,0,9,0,0,0,1,0,38,4,5,5,18,24,37,39,1,0,67,25,0,156,187,343,0.3848396501457726
542,SEBASTIAO BOCALOM RODRIGUES,1392,1180,9,85,1,117,11,28,41,46,8,41,77,9,240,7,9,4,1,0,39,25,28,11,18,1,3,1,0,0,26,0,1,4,14,14,15,25,1,1,24,10,0,120,141,261,0.4482758620689655
543,SEBASTIAO BOCALOM RODRIGUES,1392,2135,9,343,1,155,11,51,12,117,34,17,58,39,314,3,21,1,0,0,24,18,65,26,15,4,6,1,4,0,22,4,0,3,4,18,10,69,1,1,16,28,0,176,163,339,0.45722713864306785
544,SEBASTIAO BOCALOM RODRIGUES,1392,3352,1,662,1,118,22,34,4,96,89,11,44,39,316,3,15,5,0,0,87,25,63,10,12,2,1,5,1,4,23,2,1,4,7,13,11,23,0,0,18,27,0,192,147,339,0.3480825958702065
545,SEBASTIAO BOCALOM RODRIGUES,1392,1910,9,265,1,182,13,67,24,66,17,30,75,19,309,0,2,0,0,0,23,15,33,44,47,5,6,2,0,0,22,0,0,1,6,10,25,23,0,1,20,28,0,148,163,311,0.5852090032154341
546,SEBASTIAO BOCALOM RODRIGUES,1392,1635,9,106,1,129,16,46,22,109,26,22,69,25,313,1,17,4,0,0,27,54,39,4,31,6,3,4,1,1,28,2,0,6,8,15,18,37,0,0,20,31,0,168,167,335,0.3850746268656716
547,SEBASTIAO BOCALOM RODRIGUES,1392,1147,9,190,1,146,13,41,2,99,66,4,29,89,303,4,32,4,0,0,14,23,23,6,19,4,2,2,4,1,21,2,0,4,2,8,14,58,0,0,21,115,0,187,156,343,0.42565597667638483
548,SEBASTIAO BOCALOM RODRIGUES,1392,1198,9,448,1,113,11,72,3,95,86,2,15,50,285,2,32,14,1,0,13,11,26,47,46,37,39,20,2,1,12,0,0,0,1,3,4,38,0,0,7,27,0,190,144,334,0.3383233532934132
549,SEBASTIAO BOCALOM RODRIGUES,1392,2089,9,327,1,137,16,73,10,91,31,18,47,39,296,3,19,6,0,1,25,31,26,18,55,7,2,1,4,2,21,1,0,7,5,8,9,34,1,0,19,49,0,191,134,325,0.42153846153846153
550,SEBASTIAO BOCALOM RODRIGUES,1392,1856,9,239,1,145,19,59,10,89,30,26,71,33,301,3,28,4,0,1,38,28,45,19,47,1,4,4,0,1,25,1,0,2,3,10,17,39,0,0,17,36,0,198,139,337,0.43026706231454004
551,SEBASTIAO BOCALOM RODRIGUES,1392,1708,9,274,1,128,30,64,7,96,49,13,28,32,316,0,2,1,0,0,39,28,52,0,66,0,0,0,0,0,28,1,3,3,4,7,9,32,2,0,13,32,0,183,136,319,0.4012539184952978
552,SEBASTIAO BOCALOM RODRIGUES,1392,3280,1,636,1,99,7,78,5,91,72,6,23,44,294,1,25,5,1,0,23,20,38,49,81,3,6,4,1,2,12,1,1,0,5,8,9,26,0,0,15,22,0,161,165,326,0.30368098159509205
553,SEBASTIAO BOCALOM RODRIGUES,1392,1309,9,111,1,172,17,36,48,46,3,63,106,9,279,4,40,4,1,0,39,15,47,16,20,7,4,8,2,2,21,1,2,7,11,21,19,33,0,1,17,35,0,154,174,328,0.524390243902439
554,SEBASTIAO BOCALOM RODRIGUES,1392,3875,1,845,1,76,0,4,0,1,2,0,1,1,0,0,4,5,0,0,1,0,2,0,0,0,0,0,2,1,0,0,0,0,0,0,0,1,0,0,1,1,0,6,3,9,8.444444444444445
555,SEBASTIAO BOCALOM RODRIGUES,1392,2330,9,396,1,143,21,53,19,92,16,22,79,16,306,2,9,1,0,0,39,34,36,29,30,1,4,0,0,0,19,5,1,6,13,9,13,32,0,0,20,27,0,169,149,318,0.449685534591195
556,SEBASTIAO BOCALOM RODRIGUES,1392,1783,1,204,1,157,13,33,15,41,5,20,48,5,145,1,28,6,0,0,19,16,17,21,23,4,4,5,1,3,10,0,1,7,2,6,6,7,1,0,6,21,0,83,97,180,0.8722222222222222
557,SEBASTIAO BOCALOM RODRIGUES,1392,1473,1,160,1,114,20,57,7,83,57,9,36,27,269,2,18,7,0,0,24,52,10,40,37,7,5,4,1,1,30,4,1,6,7,4,15,17,1,1,9,20,0,164,132,296,0.38513513513513514
558,SEBASTIAO BOCALOM RODRIGUES,1392,2275,9,380,1,115,10,42,16,126,8,27,75,12,300,2,14,0,0,0,29,25,40,24,17,4,2,3,0,0,17,2,0,1,6,10,3,46,0,0,14,73,0,173,143,316,0.3639240506329114
559,SEBASTIAO BOCALOM RODRIGUES,1392,3263,1,573,1,128,19,56,12,97,48,24,50,31,293,5,31,8,0,0,31,22,32,28,36,5,5,2,3,0,42,2,0,4,4,17,18,27,0,0,25,34,0,204,133,337,0.3798219584569733
560,SEBASTIAO BOCALOM RODRIGUES,1392,1554,1,170,1,102,2,14,0,38,39,5,18,14,119,0,8,3,0,0,14,17,5,12,15,1,4,1,1,0,14,0,1,1,4,7,8,4,1,0,12,8,0,62,68,130,0.7846153846153846
561,SEBASTIAO BOCALOM RODRIGUES,1392,1767,9,181,1,145,12,37,6,116,43,14,46,56,295,3,25,7,0,0,29,24,30,12,19,4,4,4,5,2,22,1,1,2,2,3,10,66,1,0,19,70,0,181,149,330,0.4393939393939394
562,SEBASTIAO BOCALOM RODRIGUES,1392,1490,1,171,1,90,19,19,8,50,40,12,34,14,179,0,13,3,0,1,12,20,31,6,12,4,4,1,1,0,31,4,1,8,5,5,11,13,1,0,19,7,0,91,105,196,0.45918367346938777
563,SEBASTIAO BOCALOM RODRIGUES,1392,1929,9,268,1,113,20,44,29,73,16,30,53,16,256,3,19,3,0,0,33,26,41,6,34,1,2,1,4,1,18,2,3,3,10,5,11,31,3,0,22,24,0,172,109,281,0.40213523131672596
564,SEBASTIAO BOCALOM RODRIGUES,1392,2860,1,539,1,75,4,37,6,16,1,9,22,3,59,7,28,3,0,1,5,5,6,20,16,7,5,7,2,1,4,1,0,0,1,0,1,6,0,0,2,9,0,51,47,98,0.7653061224489796
565,SEBASTIAO BOCALOM RODRIGUES,1392,1678,9,204,1,124,13,43,3,102,84,6,21,71,309,1,23,10,0,0,19,20,27,12,25,4,4,3,3,0,26,0,0,2,0,5,12,33,0,1,18,129,0,165,178,343,0.36151603498542273
566,SEBASTIAO BOCALOM RODRIGUES,1392,2127,9,337,1,142,19,90,18,69,12,26,79,12,297,6,19,2,1,0,39,27,37,16,74,0,5,3,2,2,17,1,1,3,3,6,10,34,0,0,13,32,0,182,143,325,0.4369230769230769
567,SEBASTIAO BOCALOM RODRIGUES,1392,1929,1,268,1,119,21,23,12,100,28,15,52,16,266,0,1,0,0,0,47,69,22,0,15,0,0,0,0,0,25,0,1,5,7,4,3,21,0,0,15,33,0,148,119,267,0.44569288389513106
568,SEBASTIAO BOCALOM RODRIGUES,1392,1171,9,84,1,125,13,23,4,70,80,7,31,26,253,0,1,0,0,0,56,18,90,0,7,0,0,0,0,0,20,1,3,1,3,6,15,8,0,0,12,14,0,125,129,254,0.4921259842519685
569,SEBASTIAO BOCALOM RODRIGUES,1392,2062,9,319,1,106,18,28,16,80,43,17,43,32,277,0,0,0,0,0,36,20,44,8,24,0,0,0,0,0,20,4,1,4,6,7,13,50,0,1,18,21,0,134,143,277,0.38267148014440433
570,SEBASTIAO BOCALOM RODRIGUES,1392,2828,1,496,1,98,12,32,2,74,51,8,34,36,216,4,21,7,1,0,29,14,36,5,40,2,3,6,1,2,20,1,1,4,2,6,8,31,0,0,14,24,0,142,107,249,0.39357429718875503
571,SEBASTIAO BOCALOM RODRIGUES,1392,2070,9,321,1,116,7,39,1,95,82,15,17,45,301,0,0,0,0,0,17,16,30,38,24,2,4,0,0,0,35,2,1,8,7,21,17,32,1,0,22,24,0,152,149,301,0.3853820598006645
572,SEBASTIAO BOCALOM RODRIGUES,1392,2550,1,458,1,115,16,64,17,67,7,17,52,17,257,0,0,0,0,0,33,20,17,0,38,0,0,0,0,0,21,0,0,5,4,5,8,37,0,0,7,62,0,126,131,257,0.4474708171206226
573,SEBASTIAO BOCALOM RODRIGUES,1392,2259,9,49,1,92,13,40,3,73,50,6,28,33,210,3,22,11,0,0,15,10,35,27,18,4,8,8,3,3,19,2,0,4,5,16,17,14,0,0,20,18,0,129,117,246,0.37398373983739835
574,SEBASTIAO BOCALOM RODRIGUES,1392,3476,1,702,1,149,14,12,1,52,58,10,27,14,174,0,6,8,0,0,9,51,12,8,6,0,2,1,0,1,29,5,1,3,2,10,18,4,0,0,24,2,0,106,82,188,0.7925531914893617
575,SEBASTIAO BOCALOM RODRIGUES,1392,1368,9,15,1,148,16,40,6,98,73,11,38,58,315,1,17,7,0,0,30,20,54,24,28,4,3,2,4,0,27,3,2,8,9,18,20,20,0,0,31,33,0,194,146,340,0.43529411764705883
576,SEBASTIAO BOCALOM RODRIGUES,1392,1090,9,52,1,131,19,62,22,90,12,43,72,14,301,2,26,4,1,0,15,12,38,25,25,8,4,4,5,1,26,3,2,8,14,16,23,38,3,1,33,30,0,171,163,334,0.39221556886227543
577,SEBASTIAO BOCALOM RODRIGUES,1392,2127,9,338,1,138,16,89,17,75,5,27,88,7,305,1,14,4,0,0,28,29,41,19,47,3,5,6,3,0,23,2,0,2,4,4,10,37,0,0,19,42,0,169,155,324,0.42592592592592593
578,SEBASTIAO BOCALOM RODRIGUES,1392,3590,1,737,1,145,19,29,8,132,50,11,60,34,313,4,20,5,1,0,43,30,124,11,29,3,2,2,0,0,18,1,1,2,5,5,7,29,0,0,11,20,0,184,159,343,0.4227405247813411
579,SEBASTIAO BOCALOM RODRIGUES,1392,3247,1,567,1,111,16,48,9,84,19,19,70,23,277,0,9,1,0,1,38,25,34,8,36,0,1,1,1,2,32,1,1,3,5,8,10,44,0,0,16,22,0,155,133,288,0.3854166666666667
580,SEBASTIAO BOCALOM RODRIGUES,1392,2933,1,524,1,98,15,80,9,76,7,14,53,21,273,0,1,1,0,0,17,9,17,21,117,4,7,1,0,0,9,1,1,1,3,6,7,20,0,0,5,29,0,151,124,275,0.3563636363636364
581,SEBASTIAO BOCALOM RODRIGUES,1392,3093,1,527,1,151,18,77,24,60,3,28,76,6,223,6,51,9,3,0,22,10,22,48,57,8,0,7,9,8,9,0,0,3,3,6,7,28,0,0,7,38,0,164,128,292,0.5171232876712328
582,SEBASTIAO BOCALOM RODRIGUES,1392,1520,9,62,1,137,15,25,5,84,75,12,24,56,296,0,0,0,0,0,20,24,28,9,24,1,0,0,0,0,13,2,0,2,10,17,22,42,0,0,31,51,0,174,122,296,0.46283783783783783
583,SEBASTIAO BOCALOM RODRIGUES,1392,3026,1,526,1,105,13,78,14,85,11,21,49,5,256,3,11,5,0,1,16,20,17,49,74,1,0,0,3,0,13,1,0,1,2,5,6,26,0,0,8,34,0,152,124,276,0.3804347826086957
584,SEBASTIAO BOCALOM RODRIGUES,1392,2054,1,552,1,120,14,102,9,116,17,11,35,17,247,8,54,12,0,0,12,20,27,89,64,7,10,13,7,3,7,1,0,0,1,2,3,18,0,0,4,33,0,169,152,321,0.37383177570093457
585,SEBASTIAO BOCALOM RODRIGUES,1392,2330,9,399,1,141,25,53,11,97,18,22,72,22,312,0,7,1,0,0,24,19,33,20,20,2,7,1,0,0,18,1,1,2,7,10,9,88,0,0,16,42,0,151,169,320,0.440625
586,SEBASTIAO BOCALOM RODRIGUES,1392,1902,9,465,1,90,9,39,9,37,4,14,54,1,0,14,140,13,0,0,10,5,13,18,15,15,11,15,13,3,18,0,0,0,0,0,2,11,0,0,9,9,0,87,80,167,0.5389221556886228
587,SEBASTIAO BOCALOM RODRIGUES,1392,2275,9,379,1,112,16,49,31,84,10,31,85,9,302,1,12,0,0,0,38,33,43,10,21,2,5,1,0,0,21,1,0,4,6,7,11,55,0,0,21,36,0,165,150,315,0.35555555555555557
588,SEBASTIAO BOCALOM RODRIGUES,1392,2020,9,410,1,130,9,86,5,110,28,17,42,41,288,4,34,12,0,0,17,22,25,110,62,4,3,7,5,2,10,1,0,0,2,4,5,20,0,0,7,32,0,191,147,338,0.38461538461538464
589,SEBASTIAO BOCALOM RODRIGUES,1392,1317,1,93,1,70,18,10,4,51,54,10,28,21,194,0,1,1,0,0,10,14,11,0,3,0,0,0,0,0,10,2,1,7,5,19,49,38,0,0,12,15,0,105,91,196,0.35714285714285715
590,SEBASTIAO BOCALOM RODRIGUES,1392,3751,1,792,1,93,9,85,2,146,26,3,22,42,310,1,20,3,1,0,21,18,18,120,83,4,7,2,3,1,6,1,0,0,1,4,0,21,0,0,6,19,0,167,168,335,0.27761194029850744
591,SEBASTIAO BOCALOM RODRIGUES,1392,1872,1,174,1,128,28,44,16,93,29,22,55,28,295,2,16,1,1,0,35,33,76,1,29,1,1,1,1,1,18,3,1,1,5,12,14,35,1,0,12,34,0,161,154,315,0.40634920634920635
592,SEBASTIAO BOCALOM RODRIGUES,1392,1198,9,313,1,99,5,66,5,103,66,4,14,63,292,5,19,10,0,0,19,14,27,78,87,2,5,3,2,3,11,1,1,1,1,3,1,32,0,0,9,26,0,176,150,326,0.30368098159509205
593,SEBASTIAO BOCALOM RODRIGUES,1392,1104,9,158,1,152,23,60,11,99,16,13,58,34,283,7,22,1,0,1,23,11,41,9,11,8,9,8,1,3,12,0,0,3,4,5,8,87,0,0,6,65,0,157,157,314,0.4840764331210191
594,SEBASTIAO BOCALOM RODRIGUES,1392,2089,9,324,1,130,29,47,17,99,30,21,59,26,285,2,33,7,0,1,32,29,77,29,30,3,1,4,4,0,26,3,0,3,4,4,8,22,1,0,23,25,0,190,138,328,0.39634146341463417
595,SEBASTIAO BOCALOM RODRIGUES,1392,2585,1,435,1,133,16,45,15,101,19,18,73,21,295,1,11,1,0,0,34,28,90,14,29,1,2,0,1,0,17,1,1,4,4,4,5,14,1,0,16,42,0,171,137,308,0.4318181818181818
596,SEBASTIAO BOCALOM RODRIGUES,1392,3336,1,654,1,129,21,43,29,83,20,33,86,17,304,3,18,7,0,0,25,73,45,8,10,7,2,8,1,1,29,4,2,5,11,11,11,41,1,0,15,22,0,194,138,332,0.3885542168674699
597,SEBASTIAO BOCALOM RODRIGUES,1392,1180,9,166,1,111,10,29,31,42,6,37,87,13,245,1,9,0,0,0,17,20,28,5,16,2,2,0,0,0,16,3,0,6,12,9,8,70,0,0,18,23,0,127,128,255,0.43529411764705883
598,SEBASTIAO BOCALOM RODRIGUES,1392,3743,1,778,1,134,20,41,4,119,54,18,43,29,296,4,20,8,0,0,61,37,41,9,26,7,1,1,1,1,32,0,1,7,3,12,19,18,1,0,17,33,0,175,153,328,0.40853658536585363
599,SEBASTIAO BOCALOM RODRIGUES,1392,1490,9,43,1,97,16,41,7,69,84,16,25,33,274,0,11,6,0,0,33,15,33,18,23,11,4,5,1,0,39,2,1,4,9,9,18,22,1,0,23,20,0,158,133,291,0.3333333333333333
600,SEBASTIAO BOCALOM RODRIGUES,1392,3476,1,843,1,98,0,6,0,7,8,0,3,4,0,2,13,13,0,0,2,1,3,2,2,2,2,5,1,1,2,0,0,0,0,0,0,2,0,0,0,3,0,16,12,28,3.5
601,SEBASTIAO BOCALOM RODRIGUES,1392,3662,1,757,1,108,11,67,2,69,45,3,16,28,189,2,31,19,0,0,18,10,27,35,37,11,9,10,3,5,9,1,0,1,1,6,8,21,0,0,8,21,0,121,120,241,0.44813278008298757
602,SEBASTIAO BOCALOM RODRIGUES,1392,1465,1,379,1,162,8,25,1,105,102,3,36,54,334,0,0,0,0,0,61,21,83,0,14,0,0,0,0,0,23,0,1,0,5,7,12,47,0,0,11,49,0,183,151,334,0.48502994011976047
603,SEBASTIAO BOCALOM RODRIGUES,1392,3522,1,715,1,114,12,26,4,58,105,12,30,43,290,0,0,0,0,0,47,29,45,0,16,0,0,0,0,0,32,3,0,6,9,11,19,17,1,0,29,26,0,159,131,290,0.3931034482758621
604,SEBASTIAO BOCALOM RODRIGUES,1392,2801,1,562,1,165,19,101,11,87,5,22,73,20,283,2,46,5,2,0,27,22,22,78,60,11,9,11,0,2,13,0,0,1,4,5,7,28,0,0,11,27,0,179,159,338,0.4881656804733728
605,SEBASTIAO BOCALOM RODRIGUES,1392,3794,1,830,1,49,14,61,6,41,9,10,23,2,71,7,73,12,2,1,11,7,10,29,14,16,14,19,11,2,4,0,0,0,2,0,2,11,0,0,5,9,0,96,70,166,0.29518072289156627
606,SEBASTIAO BOCALOM RODRIGUES,1392,2526,1,385,1,146,18,67,23,61,7,33,87,8,267,5,29,3,0,0,52,30,37,13,27,3,5,6,1,2,15,1,0,3,6,10,10,18,2,1,18,44,0,154,150,304,0.48026315789473684
607,SEBASTIAO BOCALOM RODRIGUES,1392,3247,1,568,1,93,26,34,23,68,19,21,68,26,275,0,10,0,0,0,31,30,46,0,28,0,0,0,0,0,21,1,0,1,5,12,15,40,0,1,23,31,0,175,110,285,0.3263157894736842
608,SEBASTIAO BOCALOM RODRIGUES,1392,1856,1,337,1,148,18,47,39,74,3,32,108,6,277,8,40,1,0,1,47,44,42,13,28,6,4,8,4,2,13,4,0,5,7,9,7,37,0,0,19,28,0,170,157,327,0.4525993883792049
609,SEBASTIAO BOCALOM RODRIGUES,1392,1112,9,55,1,129,13,72,16,84,47,23,47,27,300,6,21,2,0,0,25,19,42,23,55,5,3,4,2,2,31,2,0,4,10,14,17,26,1,0,21,23,0,174,155,329,0.39209726443769
610,SEBASTIAO BOCALOM RODRIGUES,1392,1090,1,15,1,99,23,28,6,70,43,15,36,21,223,3,13,3,0,0,22,50,13,10,15,4,5,2,2,0,15,2,1,8,7,15,20,18,0,0,21,12,0,129,113,242,0.4090909090909091
611,SEBASTIAO BOCALOM RODRIGUES,1392,3336,1,655,1,109,22,48,18,96,15,30,83,20,298,3,24,7,0,0,51,25,101,4,16,3,3,6,0,0,17,2,0,6,4,7,6,34,0,0,19,28,0,199,133,332,0.32831325301204817
612,SEBASTIAO BOCALOM RODRIGUES,1392,2216,9,365,1,119,18,67,15,94,19,28,68,20,292,6,24,7,0,0,34,21,39,24,31,7,3,5,1,2,16,2,0,6,2,12,9,71,0,0,11,33,0,162,167,329,0.3617021276595745
613,SEBASTIAO BOCALOM RODRIGUES,1392,1767,9,160,1,148,13,41,8,102,43,18,50,62,312,1,16,8,0,0,28,23,37,10,19,5,6,3,1,2,18,4,0,3,6,10,14,86,0,0,22,40,0,182,155,337,0.4391691394658754
614,SEBASTIAO BOCALOM RODRIGUES,1392,2550,1,441,1,122,17,57,17,77,8,20,45,13,254,0,0,0,0,0,27,24,50,0,49,0,0,0,0,0,18,2,1,1,2,1,11,38,0,1,9,20,0,129,125,254,0.48031496062992124
615,SEBASTIAO BOCALOM RODRIGUES,1392,1759,9,220,1,133,11,74,14,92,7,20,74,28,286,8,19,6,0,1,29,28,30,22,59,11,5,5,2,0,12,1,1,0,3,5,12,21,1,0,12,61,0,162,158,320,0.415625
616,SEBASTIAO BOCALOM RODRIGUES,1392,1236,9,206,1,144,24,74,14,101,14,17,61,30,302,3,24,5,1,0,21,19,27,9,35,2,2,8,1,3,23,2,2,3,7,7,13,35,0,0,10,106,0,186,149,335,0.4298507462686567
617,SEBASTIAO BOCALOM RODRIGUES,1392,3522,1,716,1,104,9,18,3,82,87,15,34,37,285,0,0,0,0,0,48,28,40,0,9,0,0,0,0,0,30,3,2,2,13,18,22,23,1,0,25,21,0,153,132,285,0.3649122807017544
618,SEBASTIAO BOCALOM RODRIGUES,1392,3840,1,819,1,101,4,39,2,47,18,4,24,9,77,7,51,11,1,0,11,4,13,20,11,6,18,9,3,1,8,0,0,0,1,1,3,22,0,0,1,15,0,81,66,147,0.6870748299319728
619,SEBASTIAO BOCALOM RODRIGUES,1392,1295,9,128,1,155,20,40,14,131,33,26,58,38,350,0,10,0,0,0,36,11,79,0,13,0,0,0,0,0,27,2,1,4,11,10,15,96,0,0,14,41,0,209,151,360,0.4305555555555556
620,SEBASTIAO BOCALOM RODRIGUES,1392,1600,9,462,1,121,15,111,6,101,17,9,46,21,66,29,195,31,3,2,15,9,18,67,23,46,30,27,23,10,9,0,0,0,0,3,3,17,0,0,4,22,0,167,159,326,0.37116564417177916
621,SEBASTIAO BOCALOM RODRIGUES,1392,2321,9,395,1,146,20,78,10,98,25,22,63,21,307,5,20,5,0,0,23,22,36,44,73,4,7,7,3,1,17,0,0,1,4,6,17,33,0,0,10,29,0,188,149,337,0.4332344213649852
622,SEBASTIAO BOCALOM RODRIGUES,1392,1147,9,175,1,141,19,34,4,124,67,10,32,54,319,2,15,7,0,1,19,19,20,8,17,4,3,3,2,2,27,3,0,5,5,12,19,122,0,0,21,33,0,190,154,344,0.40988372093023256
623,SEBASTIAO BOCALOM RODRIGUES,1392,1090,9,233,1,120,21,99,29,61,13,13,79,20,312,1,17,5,0,0,17,13,32,25,80,6,4,2,3,1,23,1,0,3,10,12,11,20,0,1,15,56,0,170,165,335,0.3582089552238806
624,SEBASTIAO BOCALOM RODRIGUES,1392,2151,9,345,1,134,23,69,17,81,11,22,77,18,294,1,19,4,0,0,32,26,34,20,55,3,6,1,0,2,19,3,0,3,2,7,8,41,0,0,23,33,0,178,140,318,0.42138364779874216
625,SEBASTIAO BOCALOM RODRIGUES,1392,3050,1,540,1,80,9,50,2,52,10,10,28,4,113,3,45,4,0,0,11,7,19,22,32,9,5,3,2,3,6,0,0,0,2,3,1,16,0,0,6,18,0,96,69,165,0.48484848484848486
626,SEBASTIAO BOCALOM RODRIGUES,1392,2313,1,398,1,152,22,47,21,99,15,35,83,19,301,1,34,4,1,0,50,28,57,3,30,6,4,6,2,1,17,5,0,6,10,17,15,34,1,0,20,29,0,166,175,341,0.44574780058651026
627,SEBASTIAO BOCALOM RODRIGUES,1392,2011,9,301,1,54,7,28,3,48,29,3,7,21,125,0,18,3,0,0,8,4,14,18,42,3,0,1,2,0,6,0,0,1,0,2,4,12,0,0,7,22,0,69,77,146,0.3698630136986301
628,SEBASTIAO BOCALOM RODRIGUES,1392,1457,9,34,1,104,16,24,6,79,37,4,43,22,216,2,10,3,0,0,68,10,82,13,10,3,4,3,2,0,7,0,0,2,2,1,5,10,0,0,5,4,0,109,122,231,0.45021645021645024
629,SEBASTIAO BOCALOM RODRIGUES,1392,2542,1,452,1,155,22,44,24,89,16,35,77,14,288,7,19,7,0,0,51,29,36,3,26,6,3,3,4,1,28,2,3,3,5,9,12,60,0,0,15,22,0,167,154,321,0.48286604361370716
630,SEBASTIAO BOCALOM RODRIGUES,1392,3549,1,722,1,117,20,39,4,79,93,5,31,46,272,3,30,12,0,0,29,23,29,2,39,3,3,5,1,2,21,0,0,0,12,10,21,31,0,0,15,71,0,184,133,317,0.36908517350157727
631,SEBASTIAO BOCALOM RODRIGUES,1392,1708,9,449,1,119,14,91,5,100,37,4,25,38,299,1,9,5,0,0,17,14,14,70,33,29,48,16,1,0,13,0,0,0,3,3,5,19,0,0,6,23,0,170,144,314,0.37898089171974525
