,candidato,municipio,local,zona,secao,turno,votos_recebidos,ds_grau_escolaridade_ensino_fundamental_completo,ds_grau_escolaridade_ensino_médio_incompleto,ds_grau_escolaridade_analfabeto,ds_grau_escolaridade_ensino_médio_completo,ds_grau_escolaridade_superior_completo,ds_grau_escolaridade_lê_e_escreve,ds_grau_escolaridade_ensino_fundamental_incompleto,ds_grau_escolaridade_superior_incompleto,ds_raca_cor_não_informado,ds_raca_cor_preta,ds_raca_cor_parda,ds_raca_cor_branca,ds_raca_cor_amarela,ds_raca_cor_indígena,ds_faixa_etaria_45_a_49_anos,ds_faixa_etaria_50_a_54_anos,ds_faixa_etaria_40_a_44_anos,ds_faixa_etaria_21_a_24_anos,ds_faixa_etaria_25_a_29_anos,ds_faixa_etaria_19_anos,ds_faixa_etaria_20_anos,ds_faixa_etaria_18_anos,ds_faixa_etaria_17_anos,ds_faixa_etaria_16_anos,ds_faixa_etaria_55_a_59_anos,ds_faixa_etaria_85_a_89_anos,ds_faixa_etaria_90_a_94_anos,ds_faixa_etaria_80_a_84_anos,ds_faixa_etaria_75_a_79_anos,ds_faixa_etaria_70_a_74_anos,ds_faixa_etaria_65_a_69_anos,ds_faixa_etaria_35_a_39_anos,ds_faixa_etaria_95_a_99_anos,ds_faixa_etaria_100_anos_ou_mais,ds_faixa_etaria_60_a_64_anos,ds_faixa_etaria_30_a_34_anos,ds_faixa_etaria_inválida,ds_genero_feminino,ds_genero_masculino,eleitores_totais,percentual_votos
467,SEBASTIAO BOCALOM RODRIGUES,1392,1171,9,28,1,94,17,41,3,68,52,14,27,21,203,4,26,10,0,0,15,15,35,25,19,8,6,5,2,3,25,0,0,1,5,9,10,17,0,2,23,18,0,132,111,243,0.3868312757201646
468,SEBASTIAO BOCALOM RODRIGUES,1392,3280,1,633,1,111,20,26,9,84,96,20,48,25,300,1,19,8,0,0,24,28,49,4,14,2,3,2,0,2,36,3,0,5,12,28,35,31,1,0,23,26,0,180,148,328,0.3384146341463415
469,SEBASTIAO BOCALOM RODRIGUES,1392,3280,1,634,1,115,22,36,6,88,81,21,37,35,299,6,16,4,0,1,26,25,30,8,10,1,4,2,1,2,40,8,1,8,23,22,33,27,0,0,24,31,0,171,155,326,0.35276073619631904
470,SEBASTIAO BOCALOM RODRIGUES,1392,3751,1,783,1,91,15,96,5,114,33,3,30,35,307,2,18,4,0,0,27,18,16,30,130,5,6,2,2,1,17,0,0,0,1,3,6,25,0,0,9,33,0,162,169,331,0.27492447129909364
471,SEBASTIAO BOCALOM RODRIGUES,1392,3425,1,687,1,112,17,114,9,85,9,16,56,11,280,7,26,2,0,2,20,13,28,42,109,4,4,5,6,2,12,1,0,2,2,3,5,24,0,0,5,30,0,158,159,317,0.35331230283911674
472,SEBASTIAO BOCALOM RODRIGUES,1392,3336,1,788,1,100,21,77,17,91,21,16,66,21,297,2,22,9,0,0,34,24,33,21,71,9,6,8,4,0,20,3,1,5,1,5,4,34,0,0,13,34,0,175,155,330,0.30303030303030304
473,SEBASTIAO BOCALOM RODRIGUES,1392,1333,9,244,1,141,17,76,9,93,44,13,58,30,305,3,22,10,0,0,36,27,33,17,45,4,2,4,4,2,33,1,1,2,6,15,21,32,0,0,20,35,0,212,128,340,0.4147058823529412
474,SEBASTIAO BOCALOM RODRIGUES,1392,1929,9,417,1,124,9,85,9,93,14,11,42,13,185,6,74,11,0,0,14,8,24,72,42,15,16,11,6,3,12,0,0,2,0,4,4,16,0,0,10,17,0,158,118,276,0.4492753623188406
475,SEBASTIAO BOCALOM RODRIGUES,1392,1171,9,82,1,118,17,18,6,69,67,21,48,18,264,0,0,0,0,0,37,74,22,0,10,0,0,0,0,0,45,1,0,4,6,6,22,13,0,0,19,5,0,136,128,264,0.44696969696969696
476,SEBASTIAO BOCALOM RODRIGUES,1392,3301,1,642,1,114,19,67,30,68,9,30,99,14,312,4,17,3,0,0,37,27,58,26,28,5,1,5,4,0,19,3,1,3,3,10,15,51,0,0,12,28,0,201,135,336,0.3392857142857143
477,SEBASTIAO BOCALOM RODRIGUES,1392,3506,1,812,1,109,16,108,14,115,12,9,48,17,299,5,27,7,0,1,15,17,17,150,30,9,17,4,1,2,6,0,0,0,1,5,3,29,0,0,8,25,0,182,157,339,0.3215339233038348
478,SEBASTIAO BOCALOM RODRIGUES,1392,2844,1,498,1,133,23,72,26,81,16,21,86,10,270,6,52,7,0,0,22,22,40,39,68,5,9,6,3,3,20,2,2,5,4,4,12,24,0,0,20,25,0,159,176,335,0.3970149253731343
479,SEBASTIAO BOCALOM RODRIGUES,1392,2275,9,471,1,82,9,63,7,50,4,12,39,5,0,23,140,22,3,1,15,7,8,20,11,19,12,21,25,12,9,0,0,0,1,2,2,11,0,0,6,8,0,107,82,189,0.43386243386243384
480,SEBASTIAO BOCALOM RODRIGUES,1392,3360,1,669,1,128,20,53,9,101,87,8,42,22,304,5,21,12,0,0,30,34,38,9,34,3,6,6,0,3,31,3,1,7,12,18,19,28,0,0,34,26,0,211,131,342,0.3742690058479532
481,SEBASTIAO BOCALOM RODRIGUES,1392,3298,1,641,1,153,13,49,5,105,93,7,24,46,308,3,22,9,0,0,27,30,38,19,48,4,2,3,1,2,21,7,3,9,12,19,14,36,1,0,23,23,0,190,152,342,0.4473684210526316
482,SEBASTIAO BOCALOM RODRIGUES,1392,1422,9,20,1,165,21,36,4,112,93,17,39,36,354,2,2,0,0,0,47,29,58,0,15,0,0,0,0,0,37,2,2,6,11,23,23,23,0,0,37,45,0,198,160,358,0.46089385474860334
483,SEBASTIAO BOCALOM RODRIGUES,1392,2283,9,384,1,126,12,68,4,110,54,5,32,43,310,0,12,6,0,0,18,21,36,48,103,5,2,4,2,0,9,0,0,0,2,4,6,34,0,0,13,21,0,182,146,328,0.38414634146341464
484,SEBASTIAO BOCALOM RODRIGUES,1392,2003,9,279,1,134,15,37,35,33,8,44,87,2,249,2,6,4,0,0,28,17,27,15,49,0,0,2,1,0,25,1,0,2,3,9,20,22,0,0,21,19,0,120,141,261,0.5134099616858238
485,SEBASTIAO BOCALOM RODRIGUES,1392,1490,1,163,1,80,18,17,1,55,36,15,45,12,191,0,5,3,0,0,13,22,8,10,6,0,0,0,0,0,30,3,2,9,10,28,25,5,2,0,20,6,0,123,76,199,0.4020100502512563
486,SEBASTIAO BOCALOM RODRIGUES,1392,2240,9,374,1,132,19,83,15,105,18,20,66,14,313,4,20,2,1,0,26,26,33,47,88,5,6,5,0,1,13,1,0,1,3,7,9,26,1,0,12,30,0,173,167,340,0.38823529411764707
487,SEBASTIAO BOCALOM RODRIGUES,1392,2585,1,451,1,118,20,53,11,92,22,25,64,20,284,2,18,3,0,0,27,21,30,12,22,3,2,2,2,1,28,2,0,4,4,12,6,47,0,0,18,64,0,167,140,307,0.38436482084690554
488,SEBASTIAO BOCALOM RODRIGUES,1392,1104,9,57,1,117,21,66,12,83,18,34,67,19,285,4,25,6,0,0,37,23,27,25,22,8,4,4,6,5,25,5,1,3,6,18,19,32,1,1,15,33,0,170,150,320,0.365625
